die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00238,gds_references,,,8810.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00239,gds_references,,,12334.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00240,gds_references,,,15858.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00241,gds_references,,,19382.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00242,gds_references,,,22906.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00243,gds_references,,,26430.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00244,gds_references,,,29954.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00245,gds_references,,,33478.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00246,gds_references,,,37002.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00247,gds_references,,,40526.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00248,gds_references,,,44050.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00249,gds_references,,,-44050.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00250,gds_references,,,-40526.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00251,gds_references,,,-37002.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00252,gds_references,,,-33478.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00253,gds_references,,,-29954.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00254,gds_references,,,-26430.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00255,gds_references,,,-22906.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00256,gds_references,,,-19382.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00257,gds_references,,,-15858.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00258,gds_references,,,-12334.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00259,gds_references,,,-8810.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00260,gds_references,,,-5286.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00261,gds_references,,,-1762.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00262,gds_references,,,1762.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00263,gds_references,,,5286.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00264,gds_references,,,8810.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00265,gds_references,,,12334.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00266,gds_references,,,15858.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00267,gds_references,,,19382.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
