row,col,label
-13,-11,61-54
-13,-10,62-50
-13,-9,62-51
-13,-8,62-52
-13,-7,62-53
-13,-6,62-54
-13,-5,63-50
-13,-4,63-51
-13,-3,63-52
-13,-2,63-53
-13,-1,63-54
-13,0,64-50
-13,1,64-51
-13,2,64-52
-13,3,64-53
-13,4,64-54
-13,5,65-50
-13,6,65-51
-13,7,65-52
-13,8,65-53
-13,9,65-54
-13,10,66-50
-13,11,66-51
-13,12,66-52
-13,13,66-53
-13,14,66-54
-13,15,67-50
-13,16,67-51
-13,17,67-52
-12,-18,60-42
-12,-17,60-43
-12,-16,60-44
-12,-15,61-40
-12,-14,61-41
-12,-13,61-42
-12,-12,61-43
-12,-11,61-44
-12,-10,62-40
-12,-9,62-41
-12,-8,62-42
-12,-7,62-43
-12,-6,62-44
-12,-5,63-40
-12,-4,63-41
-12,-3,63-42
-12,-2,63-43
-12,-1,63-44
-12,0,64-40
-12,1,64-41
-12,2,64-42
-12,3,64-43
-12,4,64-44
-12,5,65-40
-12,6,65-41
-12,7,65-42
-12,8,65-43
-12,9,65-44
-12,10,66-40
-12,11,66-41
-12,12,66-42
-12,13,66-43
-12,14,66-44
-12,15,67-40
-12,16,67-41
-12,17,67-42
-11,-18,60-32
-11,-17,60-33
-11,-16,60-34
-11,-15,61-30
-11,-14,61-31
-11,-13,61-32
-11,-12,61-33
-11,-11,61-34
-11,-10,62-30
-11,-9,62-31
-11,-8,62-32
-11,-7,62-33
-11,-6,62-34
-11,-5,63-30
-11,-4,63-31
-11,-3,63-32
-11,-2,63-33
-11,-1,63-34
-11,0,64-30
-11,1,64-31
-11,2,64-32
-11,3,64-33
-11,4,64-34
-11,5,65-30
-11,6,65-31
-11,7,65-32
-11,8,65-33
-11,9,65-34
-11,10,66-30
-11,11,66-31
-11,12,66-32
-11,13,66-33
-11,14,66-34
-11,15,67-30
-11,16,67-31
-11,17,67-32
-10,-18,60-22
-10,-17,60-23
-10,-16,60-24
-10,-15,61-20
-10,-14,61-21
-10,-13,61-22
-10,-12,61-23
-10,-11,61-24
-10,-10,62-20
-10,-9,62-21
-10,-8,62-22
-10,-7,62-23
-10,-6,62-24
-10,-5,63-20
-10,-4,63-21
-10,-3,63-22
-10,-2,63-23
-10,-1,63-24
-10,0,64-20
-10,1,64-21
-10,2,64-22
-10,3,64-23
-10,4,64-24
-10,5,65-20
-10,6,65-21
-10,7,65-22
-10,8,65-23
-10,9,65-24
-10,10,66-20
-10,11,66-21
-10,12,66-22
-10,13,66-23
-10,14,66-24
-10,15,67-20
-10,16,67-21
-10,17,67-22
-9,-18,60-12
-9,-17,60-13
-9,-16,60-14
-9,-15,61-10
-9,-14,61-11
-9,-13,61-12
-9,-12,61-13
-9,-11,61-14
-9,-10,62-10
-9,-9,62-11
-9,-8,62-12
-9,-7,62-13
-9,-6,62-14
-9,-5,63-10
-9,-4,63-11
-9,-3,63-12
-9,-2,63-13
-9,-1,63-14
-9,0,64-10
-9,1,64-11
-9,2,64-12
-9,3,64-13
-9,4,64-14
-9,5,65-10
-9,6,65-11
-9,7,65-12
-9,8,65-13
-9,9,65-14
-9,10,66-10
-9,11,66-11
-9,12,66-12
-9,13,66-13
-9,14,66-14
-9,15,67-10
-9,16,67-11
-9,17,67-12
-8,-20,NA
-8,-19,NA
-8,-18,60-02
-8,-17,60-03
-8,-16,60-04
-8,-15,61-00
-8,-14,61-01
-8,-13,61-02
-8,-12,61-03
-8,-11,61-04
-8,-10,62-00
-8,-9,62-01
-8,-8,62-02
-8,-7,62-03
-8,-6,62-04
-8,-5,63-00
-8,-4,63-01
-8,-3,63-02
-8,-2,63-03
-8,-1,63-04
-8,0,64-00
-8,1,64-01
-8,2,64-02
-8,3,64-03
-8,4,64-04
-8,5,65-00
-8,6,65-01
-8,7,65-02
-8,8,65-03
-8,9,65-04
